1;Ainou;1
2;Airedale Terrier;1
3;Akbash;1
4;Akita Inu;1
5;Akita americain;1
6;Alangu Mastiff;1
7;Alano espagnol;1
8;Bulldog de sang bleu alpha;1
9;Alaskan Klee Kai;1
10;Alaunt;1
11;Alopekis;1
12;Intimidateur americain;1
13;Terrier glabre americain;1
14;Ariegeois ;1
15;Armant dog;1
16;Bandog;1
17;Bangkaew de Thailande  ;1
18;Barbet ;1
19;Basenji ;1
20;Basset ardennais, race disparue;1
21;Basset artesien normand ;1
22;Basset d'Artois;1
23;Basset bleu de Gascogne ;1
24;Basset des Alpes  ;1
25;Basset fauve de Bretagne ;1
26;Basset hound ;1
27;Basset suedois;1
28;Basset de Westphalie;1
29;Beagle ;1
30;Beagle-harrier ;1
31;Beaglier;1
32;Bedlington Terrier ;1
33;Berger allemand  ;1
34;Berger americain miniature ;1
35;Berger d'Anatolie;1
36;Berger anglais ancestral;1
37;Berger d'Artois race disparue;1
38;Berger d'Asie centrale  ;1
39;Berger australien  ;1
40;Berger australien miniature;1
41;Berger d'Auvergne;1
42;Berger basque;1
43;Berger de Beauce  ;1
44;Berger belge ;1
45;Berger belge Groenendael ;1
46;Berger belge Laekenois ;1
47;Berger belge malinois ;1
48;Berger Belge Tervueren ;1
49;Berger de Bergame;1
50;Berger blanc suisse ;1
51;Berger de Boheme  ;1
52;Berger de Bosnie-Herzegovine et de Croatie;1
53;Berger de Brie;1
54;Berger bulgare;1
55;Berger catalan;1
56;Berger du Caucase;1
57;Berger de la Crau;1
58;Berger Croate  ;1
59;Berger finnois de Laponie  ;1
60;Berger Hellenique;1
61;Berger Himalayen;1
62;Berger hollandais  ;1
63;Berger islandais ;1
64;Berger du Karst  ;1
65;Berger du Larzac race disparue;1
66;Berger de Majorque ;1
67;Berger de Maremme et Abruzzes  ;1
68;Berger picard  ;1
69;Berger polonais de plaine  ;1
70;Berger Portugais;1
71;Berger des Pyrenees;1
72;Berger des Pyrenees à face rase ;1
73;Berger des Pyrenees à poil long ;1
74;Berger roumain;1
75;Berger roumain des Carpates  ;1
76;Berger roumain de Mioritza  ;1
77;Berger roumain Bucovina  ;1
78;Berger de Russie meridionale ou berger d'Ukraine  ;1
79;Berger de Savoie ou berger des Alpes;1
80;Berger de Shiloh ;1
81;Berger des Shetland;1
82;Berger Tahitien;1
83;Berger des Tatras;1
84;Berger yougoslave de Charplanina;1
85;Bouvier des Ardennes;1
86;Bouvier des Flandres;1
87;Boxer;1
88;Boykin Spaniel ;1
89;Brachet allemand  ;1
90;Brachet noir et feu   ;1
91;Brachet de Styrie à poil dur   ;1
92;Brachet polonais  ;1
93;Brachet tyrolien  ;1
94;Braque allemand à poil court  ;1
95;Braque d'Auvergne ;1
96;Braque de Burgos  ;1
97;Braque de l'Ariege ;1
98;Braque du Bourbonnais ;1
99;Braque du Dupuy race disparue;1
100;Braque français  ;1
101;Braque français  ;1
102;Braque de Weimar  ;1
103;Braque de Weimar à poil court ;1
104;Braque de Weimar à poil long ;1
105;Braque hongrois à poil court  ;1
